,,Salary,Salary,Salary,Salary,Salary,Salary,,
Bojan Bogdanovic,28,"$10,500,000 ","$10,500,000 ",,,,,Cap space,"$12,000,000 "
Darren Collison,30,"$10,000,000 ","$10,000,000 ",,,,,Cap space,"$12,000,000 "
Al Jefferson,33,"$9,769,821 ","$10,000,000 ",,,,,Cap Space,"$13,769,821 "
Cory Joseph,26,"$7,630,000 ","$7,945,000 ",,,,,Cap Space,"$7,630,000 "
Lance Stephenson,27,"$4,180,000 ","$4,360,000 ",,,,,Cap space,"$4,180,000 "
Myles Turner,22,"$2,569,920 ","$3,410,284 ",,,,,1st round pick,"$5,980,204 "
Domantas Sabonis,21,"$2,550,000 ","$2,659,800 ","$3,529,555 ",,,,1st Round pick,"$5,209,800 "
T.J. Leaf,20,"$2,028,360 ","$2,407,560 ","$2,813,280 ","$4,326,825 ",,,1st Round Pick,"$4,435,920 "
Glenn Robinson,24,"$1,524,305 ",,,,,,Minimum Salary,
Joe Young,25,"$1,471,382 ","$1,600,520 ",,,,,Cap Space,"$1,471,382 "
Ike Anigbogu,19,"$950,000 ","$1,378,242 ","$1,618,520 ",,,,Cap space,"$1,640,000 "
Alex Poythress,24,"$778,668 ","$1,544,951 ",,,,,Two-Way Converted,"$778,668 "
Edmond Sumner,22,TBD,,,,,,Two-Way Contract,"$50,000 "
Trevor Booker,30,,,,,,,,
Ben Moore,22,TBD,,,,,,Two-Way Contract,TBD
Monta Ellis,32,"$2,245,400 ","$2,245,400 ","$2,245,400 ","$2,245,400 ","$2,245,400 ",,,"$11,227,000 "
Damien Wilkins,38,"$2,116,955 ",,,,,,,"$25,000 "
Rakeem Christmas,26,"$172,552 ",,,,,,,"$172,552 "
Georges Niang,24,"$100,000 ",,,,,,,"$100,000 "
Trey McKinney-Jones,27,"$46,080 ",,,,,,,
DeAndre Jordan,29,"$22,642,350 ","$24,119,025 ",,,,,Bird Rights,"$22,642,350 "
Danilo Gallinari,29,"$20,559,599 ","$21,587,579 ","$22,615,559 ",,,,Sign and Trade,"$64,762,737 "
Tobias Harris,25,"$16,000,000 ","$14,800,000 ",,,,,Bird Rights,"$30,800,000 "
Austin Rivers,25,"$11,825,000 ","$12,650,000 ",,,,,Cap Space,"$11,825,000 "
Avery Bradley,27,"$8,808,989 ",,,,,,Bird Rights,"$8,808,989 "
Boban Marjanovic,29,"$7,000,000 ","$7,000,000 ",,,,,Cap Space,"$14,000,000 "
Lou Williams,31,"$7,000,000 ","$8,000,000 ","$8,000,000 ","$1,500,000 ",,,Cap Space,"$23,000,000 "
Milos Teodosic,31,"$6,000,000 ","$6,300,000 ",,,,,MLE,"$6,000,000 "
Wesley Johnson,30,"$5,881,260 ","$6,134,000 ",,,,,Cap Space,"$5,881,260 "
Patrick Beverley,29,"$5,513,514 ","$5,027,028 ",,,,,Bird Rights,"$5,513,514 "
Sam Dekker,23,"$1,794,600 ","$2,760,095 ",,,,,1st Round pick,"$4,554,695 "
Montrezl Harrell,24,"$1,471,382 ",,,,,,,"$1,471,382 "
Jawun Evans,21,"$815,615 ","$1,378,242 ","$1,618,520 ",,,,MLE,"$2,193,857 "
